timeStamp,elapsed,label,success,bytes,allThreads,Latency
1281956701513,31,1.1. GetInsuranceHTML,true,4937,1,31
1281956701545,12,1.2. GetInsuranceJS1,true,72174,1,5
1281956701557,43,1.3. GetInsuranceJS2,true,14386,1,43
1281956708962,1299,1.4. InsuranceConfirm,true,3101,2,1299
1281956701513,1385,1. Insurance Transaction,true,92,2,1378
1281956706507,253,2.1. FindOfficeHTML,true,17646,2,252
1281956706761,9,2.2. FindOfficeJS1,true,72174,2,3
1281956706770,3,2.3. FindOfficeJS2,true,14386,2,3
1281956706774,3,2.4. FindOfficeJS3,true,11369,2,3
1281956706777,2,2.5. FindOfficePNG1,true,509,2,2
1281956706779,2,2.6. FindOfficePNG2,true,703,2,2
1281956713738,337,2.5. OfficeList,true,35637,3,335
1281956706507,609,2. OfficeSearch Transaction,true,148,3,600
1281956716616,16,4.1. HomePageHTML,true,2832,4,16
1281956716634,3,4.2. HomePageCSS,true,9654,4,3
1281956716637,2,4.6. HomePageGIF,true,49,4,2
1281956716639,8,4.7. HomePagePNG,true,4138,4,8
1281956716615,29,4. HomePage,true,16,4,29
1281956711610,17,3.1. CallMeHTML,true,4765,3,17
1281956711628,8,3.2. CallMeJS1,true,72174,3,3
1281956711636,3,3.3. CallMeJS2,true,14386,3,3
1281956711640,2,3.4. CallMePNG,true,509,3,2
1281956718380,158,3.5. CallMeConfirm,true,3003,4,158
1281956711609,188,3. Call Transaction,true,92,4,183